age	immune	type	scaled
45	0.001428977065	ppo	0.000351256796969039
48	0.00026692341	ppo	0.0000656124330677439
48	0.0007459156979	ppo	0.000183353508793564
50	0.0001131814743	ppo	0.0000278211338114455
50	0.001226667131	ppo	0.000301526999932823
50	0.0007213538605	ppo	0.00017731596449414
50	0.0009207151983	ppo	0.000226320967212704
64	0.003360772712	ppo	0.000826111410093255
64	0.003132655851	ppo	0.000770038013331291
20	0.0004912192076	ppo	0.000120746574383435
20	0.0004937426905	ppo	0.000121366871617289
52	0.00040275567	ppo	0.0000990013556342972
52	0.001907435578	ppo	0.000468866665507376
23	0.0003711510523	ppo	0.0000912326257822663
23	0.001226876936	ppo	0.000301578572091742
30	0.0005459893696	ppo	0.000134209625782091
30	0.001222962542	ppo	0.000300616375054301
36	0.0002597633527	ppo	0.0000638524196603119
36	0.001440677689	ppo	0.000354132926901033
37	NA	ppo	NA
37	0.0001190501027	ppo	0.0000292637011310165
44	0.001277484558	ppo	0.000314018429694313
44	0.0007610906718	ppo	0.000187083668539832
54	0.00254692149	ppo	0.000626058672753444
54	0.003100273287	ppo	0.000762078056529406
54	0.00461902931	ppo	0.00113540341568513
54	0.003148193029	ppo	0.000773857206453343
58	0.005858213431	ppo	0.00144000721644477
58	NA	ppo	NA
32	0.0005168885432	po	0.0005168885432
32	0.0001364570194	po	0.0001364570194
36	0.00008324721669	po	0.00008324721669
36	0.00006688307893	po	0.00006688307893
44	0.0000525	po	0.0000525
44	0.00003654506874	po	0.00003654506874
23	0.0000146	po	0.0000146
23	NA	po	NA
